OBJECTID,SITE_CODE,SITE_NAME,AC,TIPO,HECTAREAS,Shape_Leng,Shape_Area
1288,ES4170139,Quejigares de Gómara-Nájima,CASTILLA Y LEÓN,B,6208.27255966,118992.071933,62082725.5966
1289,ES4170135,Cañón del Río Lobos,CASTILLA Y LEÓN,B,12212.7716965,90722.2971208,122127716.965
1290,ES4170116,Sierras de Urbión y Cebollera,CASTILLA Y LEÓN,B,43005.2237931,274372.738233,430052237.931
1291,ES4170056,Sabinares de Ciria-Borobia,CASTILLA Y LEÓN,B,2788.2622265,53002.986524,27882622.265
1292,ES4170138,Quejigares y encinares de Sierra del Madero,CASTILLA Y LEÓN,B,3830.26474102,68787.0887972,38302647.4102
1293,ES4170119,Sierra del Moncayo,CASTILLA Y LEÓN,B,7046.40204264,77664.2101511,70464020.4264
1294,ES4170055,Cigudosa-San Felices,CASTILLA Y LEÓN,B,6752.2809112,76945.5696671,67522809.112
1295,ES4170057,Sabinares del Jalón,CASTILLA Y LEÓN,B,19052.3372528,80425.1717268,190523372.528
1296,ES4170054,Oncala-Valtajeros,CASTILLA Y LEÓN,B,7379.32158882,66188.6465636,73793215.8882
1297,ES4110097,Campo Azálvaro - Pinares de Peguerinos,CASTILLA Y LEÓN,B,25941.7313796,126436.123904,259417313.796
1298,ES4160058,Sabinares de Somosierra,CASTILLA Y LEÓN,B,2155.41613395,44148.4380994,21554161.3395
1299,ES4110103,Encinares de los ríos Adaja y Voltoya,CASTILLA Y LEÓN,B,23059.1609938,129463.22966,230591609.938
1300,ES4160106,Lagunas de Cantalejo,CASTILLA Y LEÓN,B,10769.4969725,84691.0044293,107694969.725
1301,ES4160122,Sierra de Pradales,CASTILLA Y LEÓN,B,1333.46469304,24369.5923789,13334646.9304
1302,ES4150032,El Rebollar,CASTILLA Y LEÓN,B,49669.9414904,233468.078133,496699414.904
1303,ES4150101,Candelario,CASTILLA Y LEÓN,B,8165.90977125,55175.7703662,81659097.7125
1304,ES4150126,Valle del Cuerpo de Hombre,CASTILLA Y LEÓN,B,6508.7297944,75320.6668613,65087297.944
1305,ES4150107,Las Batuecas-Sierra de Francia,CASTILLA Y LEÓN,B,31786.3300894,133289.747752,317863300.894
1306,ES4150100,Campo de Azaba,CASTILLA Y LEÓN,B,36158.6103991,93107.7101257,361586103.991
1307,ES4150108,Quilamas,CASTILLA Y LEÓN,B,10547.7767908,70728.0479862,105477767.908
1308,ES4150098,Campo de Argañán,CASTILLA Y LEÓN,B,9304.27040284,101120.486234,93042704.0284
1309,ES4150085,Riberas del Río Tormes y afluentes,CASTILLA Y LEÓN,B,1876.22803344,335097.80701,18762280.3344
1310,ES4150125,Riberas del Río Agadón,CASTILLA Y LEÓN,B,111.640933953,34669.6923104,1116409.33953
1311,ES4150121,Riberas del Río Alagón y afluentes,CASTILLA Y LEÓN,B,1840.05088751,104015.481441,18400508.8751
1312,ES4150064,"Riberas de los Ríos Huebra, Yeltes, Uces y afluentes",CASTILLA Y LEÓN,B,5244.55438047,573355.297691,52445543.8047
1313,ES4120072,Riberas del Río Arlanzón y afluentes,CASTILLA Y LEÓN,B,1118.51091182,335398.3266,11185109.1182
1314,ES4140136,Laguna de La Nava,CASTILLA Y LEÓN,B,1016.99458887,16178.8240538,10169945.8887
1315,ES4140080,Canal de Castilla,CASTILLA Y LEÓN,B,149.756980391,51500.8187616,1497569.80391
1316,ES4140026,Las Tuerces,CASTILLA Y LEÓN,B,1599.17199206,28931.7220929,15991719.9206
1317,ES4140027,Covalagua,CASTILLA Y LEÓN,B,2381.81270196,23817.5613026,23818127.0196
1318,ES4120071,Riberas del Río Arlanza y afluentes,CASTILLA Y LEÓN,B,1215.78629004,312302.826735,12157862.9004
1319,ES4140077,Riberas del Río Carrión y afluentes,CASTILLA Y LEÓN,B,926.246343579,328469.620202,9262463.43579
1320,ES4130149,Omaña,CASTILLA Y LEÓN,B,20054.9762847,86879.9386744,200549762.847
1321,ES4130037,Hoces de Vegacervera,CASTILLA Y LEÓN,B,5343.02873704,42620.2894255,53430287.3704
1322,ES4130076,Riberas del Río Sil y afluentes,CASTILLA Y LEÓN,B,361.102603512,83771.7532394,3611026.03512
1323,ES4130050,Montaña Central de León,CASTILLA Y LEÓN,B,34608.332023,184771.633865,346083320.23
1324,ES4130038,Sierra de la Encina de la Lastra,CASTILLA Y LEÓN,B,288.451536751,12133.7849349,2884515.36751
1325,ES4130117,Montes Aquilanos y Sierra de Teleno,CASTILLA Y LEÓN,B,31788.778298,204987.194847,317887782.98
1326,ES4130137,Rebollares del Cea,CASTILLA Y LEÓN,B,13280.4124492,212005.242472,132804124.492
1327,ES4120095,Montes de Miranda de Ebro y Ameyugo,CASTILLA Y LEÓN,B,3641.34037394,75900.83478,36413403.7394
1328,ES4120049,Bosques del Valle de Mena,CASTILLA Y LEÓN,B,6480.5983545,203842.972517,64805983.545
1329,ES4120094,Sierra de la Tesla-Valdivielso,CASTILLA Y LEÓN,B,25424.4671732,105681.400125,254244671.732
1330,ES4120025,Ojo Guareña,CASTILLA Y LEÓN,B,13010.1626455,50658.3409176,130101626.455
1331,ES4120068,Riberas del Río Riaza,CASTILLA Y LEÓN,B,94.2749906275,29521.252681,942749.906275
1332,ES4120075,Riberas del Río Tirón y afluentes,CASTILLA Y LEÓN,B,456.775202465,152909.710292,4567752.02465
1333,ES4120073,Riberas del Río Oca y afluentes,CASTILLA Y LEÓN,B,568.541439126,184891.548908,5685414.39126
1334,ES4120088,Montes de Valnera,CASTILLA Y LEÓN,B,2228.81583376,38009.2265379,22288158.3376
1335,ES4120090,Embalse del Ebro - Monte Hijedo,CASTILLA Y LEÓN,B,7300.50183029,70156.7322464,73005018.3029
1336,ES4120059,Riberas del Río Ebro y afluentes,CASTILLA Y LEÓN,B,194.005014685,60803.1142616,1940050.14685
1337,ES4120052,Riberas del Ayuda,CASTILLA Y LEÓN,B,507.485426757,185998.679876,5074854.26757
1338,ES4120066,Riberas del Río Nela y afluentes,CASTILLA Y LEÓN,B,763.523323324,158685.754897,7635233.23324
1339,ES4120051,Riberas del Zadorra,CASTILLA Y LEÓN,B,175.622629007,62474.3038109,1756226.29007
1340,ES4110020,Pinar de Hoyocasero,CASTILLA Y LEÓN,B,367.555839903,10945.0734263,3675558.39903
1341,ES4110034,Sierra de la Paramera y Serrota,CASTILLA Y LEÓN,B,22586.8169875,159338.273712,225868169.875
1342,ES4110112,Encinares de la Sierra de Ávila,CASTILLA Y LEÓN,B,13370.6610369,91363.2870611,133706610.369
1343,ES4110078,Riberas del Río Alberche y afluentes,CASTILLA Y LEÓN,B,710.117473023,204237.06275,7101174.73023
1344,ES4110113,Cerro de Guisando,CASTILLA Y LEÓN,B,3458.02311961,36874.6182563,34580231.1961
1345,ES4110114,Pinares del Bajo Alberche,CASTILLA Y LEÓN,B,49853.711061,141010.189814,498537110.61
1346,ES4110115,Valle del Tiétar,CASTILLA Y LEÓN,B,63308.2298042,288530.209159,633082298.042
1347,ES4130035,Valle de San Emiliano,CASTILLA Y LEÓN,C,55892.3608739,145570.693783,558923608.739
1348,ES0000003,Picos de Europa,CASTILLA Y LEÓN,C,23777.5394342,79079.1296731,237775394.342
1349,ES4110002,Sierra de Gredos,CASTILLA Y LEÓN,C,86944.4618576,235154.498642,869444618.576
1350,ES0000205,Lagunas del Canal de Castilla,CASTILLA Y LEÓN,C,82.0347487039,23949.8524807,820347.487039
1351,ES4120028,Monte Santiago,CASTILLA Y LEÓN,C,2646.45376951,36652.3410518,26464537.6951
1352,ES4120030,Montes Obarenes,CASTILLA Y LEÓN,C,43073.5947225,163400.557612,430735947.225
1353,ES4130003,Picos de Europa en Castilla y León,CASTILLA Y LEÓN,C,101219.464011,196488.585025,1012194640.11
1354,ES4180017,Riberas de Castronuño,CASTILLA Y LEÓN,C,8597.1918227,68134.2451598,85971918.227
1355,ES0000116,Valle de Iruelas,CASTILLA Y LEÓN,C,8603.9047672,57422.8283144,86039047.672
1356,ES4140011,Fuentes Carrionas y Fuente Cobre-Montaña Palentina,CASTILLA Y LEÓN,C,78224.6050297,191274.399392,782246050.297
1357,ES4160043,Cueva de los Murciélagos,CASTILLA Y LEÓN,B,0.999953841886,354.487088435,9999.53841886
1358,ES0000115,Hoces del Río Duratón,CASTILLA Y LEÓN,C,5041.90064619,45189.1508283,50419006.4619
1359,ES4160104,Hoces del Río Riaza,CASTILLA Y LEÓN,B,5180.83579956,48297.3734475,51808357.9956
1360,ES4160062,Lagunas de Coca y Olmedo,CASTILLA Y LEÓN,B,1225.94199229,226316.638637,12259419.9229
1361,ES4160063,Lagunas de Santa María la Real de Nieva,CASTILLA Y LEÓN,B,630.865864419,101889.735797,6308658.64419
1362,ES4160109,Sierra de Guadarrama,CASTILLA Y LEÓN,B,69678.6964135,248669.756653,696786964.135
1363,ES4160111,Valles del Voltoya y el Zorita,CASTILLA Y LEÓN,B,39653.0463106,291063.010987,396530463.106
1364,ES4120093,Humada-Peña Amaya,CASTILLA Y LEÓN,B,36839.3003712,145828.879068,368393003.712
1365,ES4130145,Lagunas de los Oteros,CASTILLA Y LEÓN,B,4117.99603226,34299.8766762,41179960.3226
1366,ES4190067,Riberas del Río Tera y afluentes,CASTILLA Y LEÓN,B,2276.79465593,523889.789673,22767946.5593
1367,ES4120092,Sierra de la Demanda,CASTILLA Y LEÓN,B,70744.7887877,318072.581231,707447887.877
1368,ES4120089,Hoces del Alto Ebro y Rudrón,CASTILLA Y LEÓN,B,46275.6243993,156866.438654,462756243.993
1369,ES0000210,Alto Sil,CASTILLA Y LEÓN,C,43768.1807288,120628.442388,437681807.288
1370,ES4130010,Sierra de los Ancares,CASTILLA Y LEÓN,C,55408.481692,135998.428174,554084816.92
1371,ES4150127,Riberas del Río Águeda,CASTILLA Y LEÓN,B,945.958981413,46038.9267015,9459589.81413
1372,ES4170120,Páramo de Layna,CASTILLA Y LEÓN,B,6253.47570485,56187.3752399,62534757.0485
1373,ES0000204,Tierra de Campiñas,CASTILLA Y LEÓN,A,139734.323118,225144.569851,1397343231.18
1374,ES0000189,Campo Azálvaro - Pinares de Peguerinos - ZEPA,CASTILLA Y LEÓN,A,28263.0913449,128691.805229,282630913.449
1375,ES0000190,Encinares de los ríos Adaja y Voltoya - ZEPA,CASTILLA Y LEÓN,A,27065.6693162,119458.314001,270656693.162
1376,ES0000217,Penillanuras-Campos Norte,CASTILLA Y LEÓN,A,13187.2670538,68735.5117054,131872670.538
1377,ES0000215,Oteros-Cea,CASTILLA Y LEÓN,A,4446.62993962,60960.0570977,44466299.3962
1378,ES4130024,Sierra de la Cabrera - ZEPA,CASTILLA Y LEÓN,A,19936.5741492,108046.069598,199365741.492
1379,ES0000194,Oteros-Campos,CASTILLA Y LEÓN,A,31711.538062,126786.135599,317115380.62
1380,ES4140036,La Nava-Campos Norte,CASTILLA Y LEÓN,A,55012.2058271,149037.070491,550122058.271
1381,ES0000220,Riberas del Pisuerga,CASTILLA Y LEÓN,A,632.496580537,56103.4558536,6324965.80537
1382,ES0000216,La Nava-Campos Sur,CASTILLA Y LEÓN,A,39085.4895759,116008.787056,390854895.759
1383,ES0000118,Arribes del Duero - ZEPA,CASTILLA Y LEÓN,A,108054.005103,406510.301231,1080540051.03
1384,ES0000207,Penillanuras-Campos Sur,CASTILLA Y LEÓN,A,23922.6857158,96327.7078375,239226857.158
1385,ES0000209,Tierra del Pan,CASTILLA Y LEÓN,A,14615.967734,71182.7405845,146159677.34
1386,ES0000203,Altos de Barahona - ZEPA,CASTILLA Y LEÓN,A,42881.2704547,146032.117224,428812704.547
1387,ES0000357,Altos Campos de Gómara,CASTILLA Y LEÓN,A,15138.8787342,59275.1264249,151388787.342
1388,ES4150005,Las Batuecas-Sierra de Francia -ZEPA,CASTILLA Y LEÓN,A,30221.0645805,138296.740521,302210645.805
1389,ES0000218,Campo de Argañán - ZEPA,CASTILLA Y LEÓN,A,17268.5822537,76156.643903,172685822.537
1390,ES0000202,Campo de Azaba - ZEPA,CASTILLA Y LEÓN,A,36586.1867877,94933.9189128,365861867.877
1391,ES0000359,Campos de Alba,CASTILLA Y LEÓN,A,15416.1317869,109057.767069,154161317.869
1392,ES4150006,Candelario - ZEPA,CASTILLA Y LEÓN,A,7054.73496114,43319.0994357,70547349.6114
1393,ES0000206,Cañones del Duero - ZEPA,CASTILLA Y LEÓN,A,17546.3041328,79172.6178203,175463041.328
1394,ES0000185,Cerro de Guisando - ZEPA,CASTILLA Y LEÓN,A,3680.45881064,36731.8929699,36804588.1064
1395,ES0000360,Cihuela-Deza,CASTILLA Y LEÓN,A,4473.61865253,34699.8974471,44736186.5253
1396,ES0000191,Embalse del Ebro,CASTILLA Y LEÓN,A,5979.2582598,36099.1647382,59792582.598
1397,ES4110086,Encinares de la Sierra de Ávila - ZEPA,CASTILLA Y LEÓN,A,9581.62488127,60704.338706,95816248.8127
1398,ES4120036,Hoces del Alto Ebro y Rudrón - ZEPA,CASTILLA Y LEÓN,A,51480.4705941,184611.152425,514804705.941
1399,ES4160008,Hoces del Río Riaza - ZEPA,CASTILLA Y LEÓN,A,6543.03980232,55270.0518265,65430398.0232
